country(HDI),Country Name(GDP/SR),Country Code
Afghanistan,Afghanistan,AFG
Albania,Albania,ALB
Algeria,Algeria,DZA
,American Samoa,ASM
Andorra,Andorra,AND
Angola,Angola,AGO
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARM
,Aruba,ABW
Australia,Australia,AUS
Austria,Austria,AUT
Azerbaijan,Azerbaijan,AZE
Bahamas,"Bahamas, The",BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
,Bermuda,BMU
Bhutan,Bhutan,BTN
Bolivia (Plurinational State of),Bolivia,BOL
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Brazil,Brazil,BRA
,British Virgin Islands,VGB
Brunei Darussalam,Brunei Darussalam,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,BDI
Cabo Verde,Cabo Verde,CPV
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
,Cayman Islands,CYM
Central African Republic,Central African Republic,CAF
Chad,Chad,TCD
,Channel Islands,CHI
Chile,Chile,CHL
China,China,CHN
Colombia,Colombia,COL
Comoros,Comoros,COM
Congo (Democratic Republic of the),"Congo, Dem. Rep.",COD
Congo,"Congo, Rep.",COG
Costa Rica,Costa Rica,CRI
,Cote d'Ivoire,CIV
Croatia,Croatia,HRV
Cuba,Cuba,CUB
,Curacao,CUW
Cyprus,Cyprus,CYP
Czechia,,
Côte d'Ivoire,,
,Czech Republic,CZE
Denmark,Denmark,DNK
Djibouti,Djibouti,DJI
Dominica,Dominica,DMA
Dominican Republic,Dominican Republic,DOM
Ecuador,Ecuador,ECU
Egypt,"Egypt, Arab Rep.",EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,GNQ
Eritrea,Eritrea,ERI
Estonia,Estonia,EST
Eswatini (Kingdom of),Eswatini,SWZ
Ethiopia,Ethiopia,ETH
,Faroe Islands,FRO
Fiji,Fiji,FJI
Finland,Finland,FIN
France,France,FRA
,French Polynesia,PYF
Gabon,Gabon,GAB
Gambia,"Gambia, The",GMB
Georgia,Georgia,GEO
Germany,Germany,DEU
Ghana,Ghana,GHA
,Gibraltar,GIB
Greece,Greece,GRC
,Greenland,GRL
Grenada,Grenada,GRD
,Guam,GUM
Guatemala,Guatemala,GTM
Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Honduras,Honduras,HND
"Hong Kong, China (SAR)","Hong Kong SAR, China",HKG
Hungary,Hungary,HUN
Iceland,Iceland,ISL
India,India,IND
Indonesia,Indonesia,IDN
Iran (Islamic Republic of),"Iran, Islamic Rep.",IRN
Iraq,Iraq,IRQ
Ireland,Ireland,IRL
,Isle of Man,IMN
Israel,Israel,ISR
Italy,Italy,ITA
Jamaica,Jamaica,JAM
Japan,Japan,JPN
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
Kiribati,Kiribati,KIR
,"Korea, Dem. People's Rep.",PRK
Korea (Republic of),"Korea, Rep.",KOR
,Kosovo,XKX
Kuwait,Kuwait,KWT
Kyrgyzstan,Kyrgyz Republic,KGZ
Lao People's Democratic Republic,Lao PDR,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Liberia,Liberia,LBR
Libya,Libya,LBY
Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,LTU
Luxembourg,Luxembourg,LUX
