country,year,gdp_per_capita
Australia,1990,17786.978311000003
Australia,1991,18126.137999000002
Australia,1992,19094.496782
Australia,1993,20118.480443
Australia,1994,21349.565284
Australia,1995,22353.994563999997
Australia,1996,23220.090889
Australia,1997,24403.021722
Australia,1998,25630.468739
Australia,1999,27098.221277999997
Australia,2000,28252.629885000002
Australia,2001,29493.214856
Australia,2002,30740.962902999996
Australia,2003,32248.255835000004
Australia,2004,33865.906508
Australia,2005,35570.808014999995
Australia,2006,37842.933976
Australia,2007,39596.040082
Australia,2008,40094.833205
Australia,2009,41614.090724
Australia,2010,42787.065957
Australia,2011,44419.309749
Australia,2012,43879.180355000004
Australia,2013,47761.214060000006
Australia,2014,47644.762792
Australia,2015,47317.250694999995
Australia,2016,50237.794429
Australia,2017,50853.615427
Australia,2018,53083.298192
Australia,2019,53078.965373
Australia,2020,51742.574197
Austria,1990,19425.410775
Austria,1991,20567.115304
Austria,1992,21241.150171
Austria,1993,21679.452881999998
Austria,1994,22587.176338999998
Austria,1995,23639.8277
Austria,1996,24500.221048
Austria,1997,25417.862477000002
Austria,1998,26673.951008
Austria,1999,27606.484243
Austria,2000,29388.784957999997
Austria,2001,29715.636017
Austria,2002,31178.051444
Austria,2003,32123.696189
Austria,2004,33756.259412
Austria,2005,35024.557484
Austria,2006,37614.942761
Austria,2007,39384.189618000004
Austria,2008,41316.022642
Austria,2009,40957.262320999995
Austria,2010,42053.24337
Austria,2011,44469.209642
Austria,2012,46477.655075
Austria,2013,47936.677963
Austria,2014,48813.534409
Austria,2015,49942.056293
Austria,2016,52665.087457
Austria,2017,54185.337013
Austria,2018,57068.534815
Austria,2019,58664.718719000004
Austria,2020,55340.407595000004
Belgium,1990,18641.737955
Belgium,1991,19550.896866
Belgium,1992,20219.669594
Belgium,1993,20420.367959
Belgium,1994,21465.602993
Belgium,1995,22391.852944
Belgium,1996,22687.967729
Belgium,1997,23724.576608000003
Belgium,1998,24367.949400999998
Belgium,1999,25441.891387
Belgium,2000,27797.333304000003
Belgium,2001,28799.327509
Belgium,2002,30281.667988999998
Belgium,2003,30901.382717
Belgium,2004,32036.935513999997
Belgium,2005,33176.680883999994
Belgium,2006,35211.893732
Belgium,2007,36745.503067000005
Belgium,2008,37883.233422000005
Belgium,2009,37779.034875
Belgium,2010,39868.992657999996
Belgium,2011,40943.343479
Belgium,2012,42290.477674
Belgium,2013,43672.712292000004
Belgium,2014,44929.933328
Belgium,2015,46201.685891
Belgium,2016,48599.202676
Belgium,2017,50442.947518
Belgium,2018,52662.767819
Belgium,2019,54709.354773
Belgium,2020,52062.806324
Canada,1990,20223.087583
Canada,1991,20218.015788999997
Canada,1992,20619.411325
Canada,1993,21432.765161000003
Canada,1994,22625.128167
Canada,1995,23477.634292
Canada,1996,24041.989428
Canada,1997,25251.116847999998
Canada,1998,26310.956955
Canada,1999,27841.629576
Canada,2000,29363.147122000002
Canada,2001,30214.300999
Canada,2002,30963.222007
Canada,2003,32333.608155
Canada,2004,33911.218288
Canada,2005,36327.662058999995
Canada,2006,38107.136242
Canada,2007,39555.523703
Canada,2008,40376.330167
Canada,2009,38893.727456
Canada,2010,40114.222041
Canada,2011,41666.718851
Canada,2012,42290.879082
Canada,2013,44298.514462
Canada,2014,45753.782936
Canada,2015,44670.054374
Canada,2016,46472.368771
Canada,2017,48316.716527
Canada,2018,50239.988278
Canada,2019,50660.587438
Canada,2020,48090.986507
Czech Republic,1990,12736.726239
Czech Republic,1991,11699.088491
Czech Republic,1992,11894.559855
Czech Republic,1993,12168.816797
Czech Republic,1994,12783.381504
Czech Republic,1995,13821.253758
Czech Republic,1996,14653.460983
Czech Republic,1997,14820.198326
Czech Republic,1998,14976.287116
Czech Republic,1999,15397.922822999999
Czech Republic,2000,16214.967545
Czech Republic,2001,17615.595018
Czech Republic,2002,18245.669005
Czech Republic,2003,19503.293709
Czech Republic,2004,20894.60712
Czech Republic,2005,22045.998880000003
Czech Republic,2006,23827.147382
Czech Republic,2007,26189.798385
Czech Republic,2008,27853.549898
Czech Republic,2009,27656.015127999995
Czech Republic,2010,27789.608376999997
Czech Republic,2011,28999.754757
Czech Republic,2012,29258.904852999996
Czech Republic,2013,30828.526409
Czech Republic,2014,32504.217576
Czech Republic,2015,33909.309243
Czech Republic,2016,36101.285600999996
Czech Republic,2017,38842.896268000004
Czech Republic,2018,41147.631528
Czech Republic,2019,43015.814744999996
Czech Republic,2020,41737.418074
Denmark,1990,18202.988752
Denmark,1991,19029.001048
Denmark,1992,19778.303328
Denmark,1993,20178.829135
Denmark,1994,21637.840264
Denmark,1995,22655.944618999998
Denmark,1996,23687.827456
Denmark,1997,24919.675703
Denmark,1998,25818.946768
Denmark,1999,26657.827372
Denmark,2000,28679.270722
Denmark,2001,29459.845737
Denmark,2002,30639.953691000002
Denmark,2003,30791.903458999997
Denmark,2004,32920.676921
Denmark,2005,34152.881663
Denmark,2006,37286.319861
Denmark,2007,38969.119720999995
Denmark,2008,41282.995470999995
Denmark,2009,40361.790678
Denmark,2010,43041.192361
Denmark,2011,44407.94207
Denmark,2012,44808.549212
Denmark,2013,46742.939663
Denmark,2014,47905.477079000004
Denmark,2015,49058.142344
Denmark,2016,51967.020438
Denmark,2017,55356.49009
Denmark,2018,57459.169626
Denmark,2019,60308.072261
Denmark,2020,60413.001886
Finland,1990,18102.410883
Finland,1991,17517.083718
Finland,1992,17228.753019
Finland,1993,17435.816507
Finland,1994,18434.199087
Finland,1995,19539.496806
Finland,1996,20038.365756
Finland,1997,21787.050734
Finland,1998,23575.985475
Finland,1999,24767.163974
Finland,2000,26796.410421
Finland,2001,27807.753126
Finland,2002,28605.122922000002
Finland,2003,29021.635677
Finland,2004,31175.727708
Finland,2005,32051.762888999998
Finland,2006,34408.817577
Finland,2007,37792.556693
Finland,2008,40083.701943
Finland,2009,38000.018769
Finland,2010,38985.871994
Finland,2011,40916.647325
Finland,2012,40872.854802
Finland,2013,41492.918416
Finland,2014,41749.864732999995
Finland,2015,42490.211049
Finland,2016,44934.488245
Finland,2017,47570.270354
Finland,2018,49749.057567
Finland,2019,51556.590319999996
Finland,2020,51095.532960000004
France,1990,17602.775122
France,1991,18297.09381
France,1992,18919.335638
France,1993,19162.456980000003
France,1994,19958.910936
France,1995,20731.559765
France,1996,21310.201946
France,1997,22239.640072
France,1998,23362.488152
France,1999,24311.403864
France,2000,26106.052894999997
France,2001,27506.156751
France,2002,28528.156107
France,2003,28148.115652999997
France,2004,29040.965294
France,2005,30504.058783999997
France,2006,32431.435631
France,2007,34086.956799
France,2008,35102.870427999995
France,2009,34711.655714
France,2010,35939.455835
France,2011,37447.949543
France,2012,37684.198067000005
France,2013,39528.473644
France,2014,40144.059485000005
France,2015,40829.893311
France,2016,42855.944562
France,2017,44480.722199
France,2018,46507.646572000005
France,2019,49467.602317000004
France,2020,46537.022708
Germany,1990,19432.877676
Germany,1991,20955.50004
Germany,1992,21702.219369
Germany,1993,21878.171781999998
Germany,1994,22823.157071
Germany,1995,23614.679946
Germany,1996,24151.665336000002
Germany,1997,24722.26844
Germany,1998,25531.12268
Germany,1999,26510.228697
Germany,2000,27462.90882
Germany,2001,28670.790607
Germany,2002,29504.28924
Germany,2003,30238.269264
Germany,2004,31715.392519
Germany,2005,32236.740986
Germany,2006,34620.413592000004
Germany,2007,36813.713454000004
Germany,2008,38432.448211
Germany,2009,37492.649447
Germany,2010,39707.329953
Germany,2011,42541.513126
Germany,2012,43359.541048
Germany,2013,44993.667838
Germany,2014,47011.280402
Germany,2015,47609.557158999996
Germany,2016,50579.483717
Germany,2017,52952.897774000005
Germany,2018,54954.686579999994
Germany,2019,55891.15984
Germany,2020,53812.005051
Greece,1990,13189.576297
Greece,1991,13940.312822999998
Greece,1992,14253.475422
Greece,1993,14278.985409
Greece,1994,14808.391538
Greece,1995,15395.287081999999
Greece,1996,16110.163330000001
Greece,1997,17149.86169
Greece,1998,18032.977372
Greece,1999,18464.726453
Greece,2000,19524.703035
Greece,2001,20963.822068999998
Greece,2002,22615.957435
Greece,2003,23871.921816
Greece,2004,25439.31884
Greece,2005,25577.445437000002
Greece,2006,28510.877945999997
Greece,2007,29284.612817
Greece,2008,30855.935774
Greece,2009,30381.482016
Greece,2010,27934.317127
Greece,2011,25671.291223
Greece,2012,24912.130664
Greece,2013,25947.870627
Greece,2014,26642.231958
Greece,2015,26720.908773
Greece,2016,27471.218206
Greece,2017,28644.977147
Greece,2018,29680.902369
Greece,2019,30869.249858999996
Greece,2020,28485.786418
Hungary,1991,8327.183804
Hungary,1992,8273.5709
Hungary,1993,8445.342071
Hungary,1994,8908.45228
Hungary,1995,9169.985152
Hungary,1996,9329.287509
Hungary,1997,9821.418274
Hungary,1998,10397.681365
Hungary,1999,10873.247873
Hungary,2000,11858.334408
Hungary,2001,13213.635599
Hungary,2002,14526.388250999998
Hungary,2003,15465.365352
Hungary,2004,16230.260624
Hungary,2005,17073.551438
Hungary,2006,18337.205217
Hungary,2007,19041.087901
Hungary,2008,20696.728568000002
Hungary,2009,20689.046702
Hungary,2010,21716.650836
Hungary,2011,22999.830605000003
Hungary,2012,23206.255116
Hungary,2013,24498.658689
Hungary,2014,25642.556756
Hungary,2015,26777.470459
Hungary,2016,27911.664732999998
Hungary,2017,29465.126306000002
Hungary,2018,31831.981048
Hungary,2019,33956.821868
Hungary,2020,33084.221808999995
Iceland,1990,21935.573514
Iceland,1991,22348.029429
Iceland,1992,21820.702176
Iceland,1993,22401.161183
Iceland,1994,23507.096749
Iceland,1995,23902.718765999998
Iceland,1996,24716.28379
Iceland,1997,26886.302952
Iceland,1998,28745.860849
Iceland,1999,29576.841574000002
Iceland,2000,29792.576142
Iceland,2001,31875.051085000003
Iceland,2002,32598.376020999996
Iceland,2003,32690.496031
Iceland,2004,35522.714458999995
Iceland,2005,37427.934965
Iceland,2006,39579.737256
Iceland,2007,41435.17855
Iceland,2008,43456.216758999995
Iceland,2009,41802.999355
Iceland,2010,39810.803416
Iceland,2011,40938.664549
Iceland,2012,42006.543346
Iceland,2013,44404.731588
Iceland,2014,45995.001692000005
Iceland,2015,49203.294991
Iceland,2016,53486.615773000005
Iceland,2017,55638.491978
Iceland,2018,58225.804712
Iceland,2019,60075.684325
Iceland,2020,55492.409149
Ireland,1990,13741.089121
Ireland,1991,14397.767054
Ireland,1992,15094.062666999998
Ireland,1993,15783.381169
Ireland,1994,16991.230036
Ireland,1995,18938.038579
Ireland,1996,20495.033957
Ireland,1997,22689.333861000003
Ireland,1998,25081.569768
Ireland,1999,27041.622656
Ireland,2000,30226.138501999998
Ireland,2001,32601.902438
Ireland,2002,35222.881959
Ireland,2003,36241.407312
Ireland,2004,38729.278379
Ireland,2005,40465.540236
Ireland,2006,44212.16744
Ireland,2007,46703.523511
Ireland,2008,44105.305617
Ireland,2009,41467.136282
Ireland,2010,43239.794656
Ireland,2011,45095.404017
Ireland,2012,46382.57421
Ireland,2013,47869.673503
Ireland,2014,51156.247715
Ireland,2015,69119.703929
Ireland,2016,71594.09568500001
Ireland,2017,77832.00899
Ireland,2018,84781.721928
Ireland,2019,89680.969173
Ireland,2020,95512.586102
Italy,1990,18592.631819
Italy,1991,19497.746407
Italy,1992,20100.806853000002
Italy,1993,20389.1124
Italy,1994,21268.095706
Italy,1995,22340.547473
